date,avg_pnl,total_pnl,avg_size,total_volume,active_accounts,value,classification
2024-05-02,-0.4646415833333337,-33.45419400000003,10697.198055555556,770198.26,1,43,Fear
2024-05-03,109.95014467222222,19791.026041,4676.724,841810.32,1,48,Neutral
2024-05-04,107.06484306,10706.484306,5037.918,503791.8,3,67,Greed
2024-05-05,0.15266666666666667,0.916,4011.391666666667,24068.350000000002,2,69,Greed
2024-05-06,1.038064925925926,56.055506,469.4587037037037,25350.77,1,71,Greed
2024-05-07,0.0,0.0,8509.0590625,272289.89,2,68,Greed
2024-05-08,-162.6708146125,-13013.665169,5256.1925,420495.4,4,64,Greed
2024-05-09,0.0,0.0,0.84,0.84,1,55,Greed
2024-05-10,155.86924032432432,5767.161892,16367.722702702702,605605.74,2,66,Greed
2024-05-11,67.8475928,678.4759280000001,20062.723,200627.23,1,53,Neutral
2024-05-12,156.96078615789474,71574.11848800001,2756.0324342105264,1256750.79,8,56,Greed
2024-06-01,6.16280290909091,135.58166400000002,13569.154545454547,298521.4,1,72,Greed
2024-06-02,-0.19817638511029412,-215.615907,7396.280707720588,8047153.41,1,73,Greed
2024-06-03,83.10762364634145,6814.825139,3990.4636585365856,327218.02,1,73,Greed
2024-06-04,14.770945874999999,236.33513399999998,4263.979375,68223.67,1,73,Greed
2024-06-05,107.62115333333333,968.59038,22890.714444444442,206016.43,1,75,Extreme Greed
2024-06-06,1.1716802863247862,274.173187,587.8536752136753,137557.76,1,78,Extreme Greed
2024-06-07,4.53634075,108.87217799999999,103.75708333333334,2490.17,1,77,Extreme Greed
2024-06-08,2.4982995140186914,267.318048,574.5642990654205,61478.38,2,72,Greed
2024-06-09,-26.306113452380952,-1104.856765,929.6928571428571,39047.1,2,75,Extreme Greed
2024-06-10,5.9312308636363635,130.487079,13642.298181818182,300130.56,1,72,Greed
2024-06-11,187.85581533333334,2817.83723,8260.46,123906.9,2,74,Greed
2024-06-12,-229.83782604218362,-92624.643895,8612.950918114144,3471019.22,10,72,Greed
2024-07-01,-8.615270463917525,-835.681235,10812.887216494846,1048850.06,1,53,Neutral
2024-07-02,16.082808,241.24212,450.582,6758.73,1,51,Neutral
2024-07-04,0.0,0.0,2173.397391304348,49988.14,1,44,Fear
2024-07-05,49.08542738888889,883.537693,6039.865555555556,108717.58,3,29,Fear
2024-07-06,20.23288049090909,8902.467416,2496.7926363636366,1098588.76,3,26,Fear
2024-07-07,6.1428942,61.428942,49.875,498.75,1,29,Fear
2024-07-08,5.720886515151515,188.789255,75.53848484848484,2492.77,3,28,Fear
2024-07-10,0.0,0.0,10475.459523809524,219984.65,1,28,Fear
2024-07-11,39.764187044247784,4493.353136,985.2681415929204,111335.3,3,29,Fear
2024-07-12,282.5864442993421,85906.279067,1485.965197368421,451733.42,6,25,Fear
2024-08-01,-2.1083940546875,-269.874439,11894.159609375,1522452.43,1,52,Neutral
2024-08-02,77.07560240000001,770.756024,2605.112,26051.12,1,57,Greed
2024-08-03,63.7594960597015,4271.886236,2740.047462686567,183583.18,1,37,Fear
2024-08-04,40.614223333333335,1218.4267,7064.688,211940.64,2,34,Fear
2024-08-05,0.12044307692307693,1.56576,5074.89,65973.57,2,26,Fear
2024-08-06,4.453063413793104,129.13883900000002,3356.961379310345,97351.88,2,17,Extreme Fear
2024-08-07,0.0,0.0,497.64,497.64,1,29,Fear
